id;bank_name;account_number;created_at;updated_at
1;Cambridgeshire;Fantastic frame extranet;2020-05-08T01:10:05;2020-05-07T10:25:39
2;Andorra Shoes;Generic Plastic Ball Jewelery;2020-05-07T11:30:00;2020-05-08T02:54:35
3;Agent Facilitator;content Borders;2020-05-08T08:55:06;2020-05-07T22:05:55
4;Licensed Frozen Mouse;Malagasy Ariary Fall;2020-05-08T07:22:31;2020-05-07T13:19:46
5;EXE functionalities;product hack Corporate;2020-05-07T10:22:36;2020-05-08T07:30:15
6;Wooden transition;Checking Account Computers Spurs;2020-05-08T08:17:33;2020-05-07T21:05:25
7;infrastructures;Utah;2020-05-07T10:35:21;2020-05-07T19:35:52
8;UIC-Franc Stream;Refined Plastic Shirt maximize Colorado;2020-05-08T00:05:14;2020-05-08T05:06:45
9;heuristic overriding;bandwidth Configurable framework;2020-05-07T13:23:58;2020-05-08T06:42:43
10;program JBOD input;primary;2020-05-08T01:03:25;2020-05-07T23:04:32
